LON,LAT,ANNUAL
-3.981,-13.356,3784
-39.073,-13.367,4402
-44.635,-13.343,6073
-43.411,-1.325,6159
-42.292,-13.330,6060
-41.665,-13.251,4829
-40.959,-13.293,4291
-40.370,-13.259,4013
-40.085,-13.257,3776
-39.822,-13.295,3800
-39.663,-13.269,3777
-39.568,-1.325,3726
-41.770,-13.153,4702
-39.505,-13.229,3699
-39.422,-13.168,3904
-44.201,-13.073,6032
-4.347,-13.083,6160
-4.229,-1.313,6042
-39.794,-1.310,3921
-39.002,-13.077,4333
-38.894,-13.111,4671
-4.405,-12.980,6139
-42.695,-1.302,6071
-41.371,-13.006,4230
-40.964,-12.982,4379
-40.530,-13.007,4471
-40.068,-13.027,3871
-39.597,-13.032,4102
-39.458,-13.044,3890
-39.392,-12.968,4003
-39.259,-12.962,4135
-39.109,-1.300,4263
-39.010,-13.034,4304
-38.618,-12.964,4898
-38.502,-12.973,5015
-42.486,-12.881,6199
-39.862,-12.867,4014
-3.952,-12.946,4097
-39.192,-1.291,4257
-38.757,-12.874,4860
-38.680,-12.894,4951
-38.321,-12.898,4666
-43.951,-12.759,6100
-42.733,-1.282,6131
-42.169,-12.809,5754
-41.329,-12.795,4135
-41.069,-12.817,4128
-40.206,-12.767,4153
-39.523,-12.770,3987
-39.427,-12.768,3996
-39.172,-1.278,4215
-39.087,-12.846,4232
-38.918,-12.777,4428
-38.403,-1.279,4425
-44.008,-12.703,6099
-43.180,-12.687,6171
-42.218,-12.651,5817
-41.829,-12.707,5003
-40.609,-12.661,4162
-39.697,-12.714,4073
-39.101,-1.267,4222
-3.919,-12.730,4222
-3.877,-12.740,4900
-38.616,-12.745,4733
-38.541,-12.671,4199
-38.327,-12.700,4299
-41.390,-12.563,4221
-40.930,-12.648,4099
-39.042,-12.600,4398
-3.896,-12.600,4387
-38.974,-12.613,4387
-38.676,-12.622,4355
-3.829,-12.619,4606
-43.962,-12.486,6063
-41.581,-12.506,4664
-40.306,-12.525,3983
-39.191,-12.532,4370
-38.998,-12.508,4307
-3.871,-12.549,4313
